gen,media_pop,migliore,centro,cadute_pct,sec
1,0.1413,0.1557,0.1433,,7.3
2,0.1387,0.1554,0.1387,,5.6
3,0.1418,0.1626,0.1418,,5.8
4,0.1694,0.2043,0.1694,,7.1
5,0.1717,0.2370,0.2039,,8.3
6,0.1893,0.3615,0.1893,,9.3
7,0.2170,0.2693,0.2170,,8.9
36,0.1514,0.2975,0.1850,,2.7
37,0.1447,0.2031,0.1447,,6.2
38,0.1425,0.2224,0.1425,,5.5
39,0.1373,0.2402,0.1373,,5.5
40,0.1286,0.2219,0.1585,,6.3
41,0.1348,0.2097,0.1348,,6.4
42,0.1348,0.2444,0.1348,,6.4
43,0.1345,0.2434,0.1345,,5.7
44,0.1366,0.2155,0.1366,,6.3
45,0.1370,0.2095,0.1536,,48.2
46,0.1307,0.2148,0.1307,,3.6
47,0.1339,0.2230,0.1339,,5.6
48,0.1277,0.2071,0.1277,,4.2
49,0.1344,0.2775,0.1344,,4.5
50,0.1315,0.2314,0.1831,,4.7
51,0.1266,0.2003,0.1266,,4.8
52,0.1237,0.1908,0.1237,,4.1
53,0.1381,0.2009,0.1381,,4.4
54,0.1356,0.2457,0.1356,,81.4
55,0.1362,0.2502,0.1493,,5.6
56,0.1339,0.2169,0.1339,,5.2
57,0.1334,0.2925,0.1334,,8.2
58,0.1329,0.2187,0.1329,,7.8
59,0.1290,0.1992,0.1290,,5.4
60,0.1374,0.2346,0.1637,,6.9
61,0.1353,0.1865,0.1353,,5.6
62,0.1343,0.2237,0.1343,,5.4
63,0.1384,0.2097,0.1384,,5.5
64,0.1358,0.2309,0.1358,,6.7
65,0.1356,0.2326,0.1511,,6.1
66,0.1338,0.1997,0.1338,,5.2
67,0.1280,0.1875,0.1280,,5.0
68,0.1329,0.2159,0.1329,,5.5
69,0.1294,0.1865,0.1294,,5.1
70,0.1281,0.2177,0.1424,,6.0
71,0.1323,0.2201,0.1323,,5.9
72,0.1282,0.1926,0.1282,,5.3
73,0.1287,0.1942,0.1287,,5.2
74,0.1343,0.2277,0.1343,,5.3
75,0.1351,0.1879,0.1642,,6.7
76,0.1365,0.1969,0.1365,,7.1
77,0.1362,0.2140,0.1362,,7.1
78,0.1381,0.2062,0.1381,,8.9
79,0.1401,0.2094,0.1401,,7.2
80,0.1293,0.2021,0.1660,,6.0
81,0.1283,0.2079,0.1283,,5.9
82,0.1329,0.1932,0.1329,,6.9
83,0.1363,0.2719,0.1363,,6.8
84,0.1387,0.2283,0.1387,,6.5
85,0.1322,0.2003,0.1273,,6.1
86,0.1308,0.1757,0.1308,,6.9
87,0.1340,0.1849,0.1340,,6.4
88,0.1319,0.2020,0.1319,,7.4
89,0.1280,0.1782,0.1280,,5.6
90,0.1330,0.2128,0.1362,,6.6
91,0.1351,0.2421,0.1351,,7.1
92,0.1347,0.1991,0.1347,,6.3
93,0.1321,0.2009,0.1321,,6.5
94,0.1369,0.2744,0.1369,,6.3
95,0.1382,0.1916,0.1477,,6.1
96,0.1383,0.2618,0.1383,,6.0
97,0.1467,0.2391,0.1467,,6.8
98,0.1416,0.2149,0.1416,,7.6
99,0.1453,0.2341,0.1453,,7.7
100,0.1463,0.2223,0.1528,,9.0
101,0.1381,0.2054,0.1381,,8.1
102,0.1405,0.2103,0.1405,,7.3
103,0.1399,0.2205,0.1399,,6.7
104,0.1446,0.2795,0.1446,,8.3
105,0.1375,0.2137,0.1281,,7.8
106,0.1354,0.1992,0.1354,,6.9
107,0.1342,0.2021,0.1342,,6.9
108,0.1403,0.2106,0.1403,,5.9
109,0.1406,0.2004,0.1406,,6.3
110,0.1306,0.2426,0.1369,,7.3
111,0.1310,0.1817,0.1310,,5.8
112,0.1437,0.2192,0.1437,,6.7
113,0.1347,0.2368,0.1347,,6.8
114,0.1507,0.2491,0.1507,,8.0
115,0.1358,0.2107,0.1447,,7.2
116,0.1361,0.2130,0.1361,,6.5
117,0.1411,0.2046,0.1411,,6.1
118,0.1467,0.2181,0.1467,,6.3
119,0.1430,0.2388,0.1430,,7.2
120,0.1360,0.1959,0.1405,,6.8
121,0.1387,0.1963,0.1387,,6.2
122,0.1402,0.2355,0.1402,,1.8
123,0.1401,0.2296,0.1401,,1.8
124,0.1419,0.1972,0.1419,,2.1
125,0.1416,0.2030,0.1590,,2.5
126,0.1350,0.1936,0.1350,,3.1
